theorem	wm_selections	thvm_picks	identical_prefix	full_identity	first_divergence_index	note
AbelianGroupAxioms__ImpliesAbelianMcCuneAxioms	21	21	21	Y	-	thvm=PROVED weights-exact
AbelianGroupAxioms__ImpliesMcCuneAxioms	91	91	91	Y	-	thvm=PROVED weights-exact
AbelianGroupAxioms__InverseOfComposite	22	22	22	Y	-	thvm=PROVED weights-exact
AbelianGroupAxioms__InverseOfInverse	9	9	9	Y	-	thvm=PROVED weights-exact
AbelianMcCuneAxioms__Associativity	420	420	420	Y	-	thvm=PROVED weights-exact
AbelianMcCuneAxioms__Commutativity	15	15	15	Y	-	thvm=PROVED weights-exact
AbelianMcCuneAxioms__ImpliesMcCuneAxioms	192	192	192	Y	-	thvm=PROVED weights-exact
AbelianMcCuneAxioms__InverseOfComposite	26	26	26	Y	-	thvm=PROVED weights-exact
AbelianMcCuneAxioms__InverseOfInverse	10	10	10	Y	-	thvm=PROVED weights-exact
AbelianTarskiAxioms__Associativity	48	48	48	Y	-	thvm=PROVED weights-exact
AbelianTarskiAxioms__Commutativity	52	52	52	Y	-	thvm=PROVED weights-exact
AbelianTarskiAxioms__ImpliesHigmanNeumannAxioms	5	5	5	Y	-	thvm=PROVED weights-exact
BooleanAxioms__Absorption	186	186	186	Y	-	thvm=PROVED weights-exact
BooleanAxioms__AbsorptionOrAnd	189	189	189	Y	-	thvm=PROVED weights-exact
BooleanAxioms__AndAssociativity	1260	1260	1260	Y	-	thvm=PROVED weights-exact
BooleanAxioms__AndCommutativity	6	6	6	Y	-	thvm=PROVED weights-exact
BooleanAxioms__AndDistributivity	5	5	5	Y	-	thvm=PROVED weights-exact
BooleanAxioms__AndIdempotence	16	16	16	Y	-	thvm=PROVED weights-exact
BooleanAxioms__AndPreAssociativity	47	47	47	Y	-	thvm=PROVED weights-exact
BooleanAxioms__DeMorgan__c1	2105	2105	2105	Y	-	thvm=PROVED weights-exact
BooleanAxioms__DeMorgan__c2	2208	2208	2208	Y	-	thvm=PROVED weights-exact
BooleanAxioms__DoubleNegation	36	36	36	Y	-	thvm=PROVED weights-exact
BooleanAxioms__DroppingAlwaysFalse	1	1	1	Y	-	thvm=PROVED weights-exact
BooleanAxioms__DroppingAlwaysTrue	1	1	1	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ExcludedMiddle	63	63	63	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ImpliesHuntingtonAxioms__c1	6	6	6	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ImpliesHuntingtonAxioms__c2	1250	1250	1250	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ImpliesHuntingtonAxioms__c3	2082	2082	2082	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ImpliesRobbinsAxioms__c1	6	6	6	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ImpliesRobbinsAxioms__c2	1250	1250	1250	Y	-	thvm=PROVED weights-exact
BooleanAxioms__ImpliesRobbinsAxioms__c3	2082	2082	2082	Y	-	thvm=PROVED weights-exact
BooleanAxioms__NegationRedundancy	9	9	9	Y	-	thvm=PROVED weights-exact
BooleanAxioms__Noncontradiction	65	65	65	Y	-	thvm=PROVED weights-exact
BooleanAxioms__OrAssociativity	1250	1250	1250	Y	-	thvm=PROVED weights-exact
BooleanAxioms__OrCommutativity	6	6	6	Y	-	thvm=PROVED weights-exact
BooleanAxioms__OrDistributivity	5	5	5	Y	-	thvm=PROVED weights-exact
BooleanAxioms__OrIdempotence	15	15	15	Y	-	thvm=PROVED weights-exact
BooleanAxioms__Transposition	36	36	36	Y	-	thvm=PROVED weights-exact
CombinatorAxioms__BCKWToSKI__c1	7	7	7	Y	-	thvm=PROVED weights-exact
CombinatorAxioms__BCKWToSKI__c2	109	109	109	Y	-	thvm=PROVED weights-exact
CombinatorAxioms__BCKWToSKI__c3	7	7	7	Y	-	thvm=PROVED weights-exact
CombinatorAxioms__SKIToBCKW__c1	44823	42017	23553	N	23554	thvm=PROVED content-delta_wm-only=3654_thvm-only=848;post-axiom_nonax-wm=44816_nonax-thvm=42010_nonax-prefix=23546;weights-exact
CombinatorAxioms__SKIToBCKW__c2	32700	31203	23553	N	23554	thvm=PROVED content-delta_wm-only=1507_thvm-only=10;post-axiom_nonax-wm=32693_nonax-thvm=31196_nonax-prefix=23546;weights-exact
CombinatorAxioms__SKIToBCKW__c3	9	9	9	Y	-	thvm=PROVED weights-exact
CommutativeRingAxioms__ZeroIsAbsorbing	547	547	547	Y	-	thvm=PROVED weights-exact
CommutativeRingWithIdentityAxioms__MinusOneYieldsInverse	576	576	576	Y	-	thvm=PROVED weights-exact
CommutativeRingWithIdentityAxioms__ZeroIsAbsorbing	503	503	503	Y	-	thvm=PROVED weights-exact
GroupAxioms__ImpliesMcCuneAxioms	33	33	33	Y	-	thvm=PROVED weights-exact
GroupAxioms__InverseOfComposite	18	18	18	Y	-	thvm=PROVED weights-exact
GroupAxioms__InverseOfInverse	10	10	10	Y	-	thvm=PROVED weights-exact
GroupAxioms__LeftIdentity	9	9	9	Y	-	thvm=PROVED weights-exact
GroupAxioms__LeftInverse	12	12	12	Y	-	thvm=PROVED weights-exact
HigmanNeumannAxioms__Associativity	105	105	105	Y	-	thvm=PROVED weights-exact
HigmanNeumannAxioms__EqualityOfIdentities	13	13	13	Y	-	thvm=PROVED weights-exact
HigmanNeumannAxioms__LeftIdentity	13	13	13	Y	-	thvm=PROVED weights-exact
HigmanNeumannAxioms__RightIdentity	11	11	11	Y	-	thvm=PROVED weights-exact
HillmanAxioms__AndAssociativity	182	182	182	Y	-	thvm=PROVED weights-exact
HillmanAxioms__Commutativity	182	182	182	Y	-	thvm=PROVED weights-exact
HillmanAxioms__OrAssociativity	182	182	182	Y	-	thvm=PROVED weights-exact
HuntingtonAxioms__DoubleNegation	215	215	215	Y	-	thvm=PROVED weights-exact
HuntingtonAxioms__ImpliesRobbinsAxioms__c1	2	2	2	Y	-	thvm=PROVED weights-exact
HuntingtonAxioms__ImpliesRobbinsAxioms__c2	3	3	3	Y	-	thvm=PROVED weights-exact
HuntingtonAxioms__ImpliesRobbinsAxioms__c3	220	220	220	Y	-	thvm=PROVED weights-exact
McCuneAxioms__Associativity	213	213	213	Y	-	thvm=PROVED weights-exact
McCuneAxioms__EqualityOfInverses	156	156	156	Y	-	thvm=PROVED weights-exact
McCuneAxioms__InverseOfComposite	130	130	130	Y	-	thvm=PROVED weights-exact
McCuneAxioms__InverseOfInverse	118	118	118	Y	-	thvm=PROVED weights-exact
MeredithAxioms__AndAssociativity	64800	63768	4189	N	4190	thvm=PROVED content-delta_wm-only=1105_thvm-only=73;post-axiom_nonax-wm=64798_nonax-thvm=63766_nonax-prefix=4187;weights-exact
MeredithAxioms__Commutativity	6	6	6	Y	-	thvm=PROVED weights-exact
MeredithAxioms__OrAssociativity	64800	63768	4189	N	4190	thvm=PROVED content-delta_wm-only=1105_thvm-only=73;post-axiom_nonax-wm=64798_nonax-thvm=63766_nonax-prefix=4187;weights-exact
RingAxioms__ZeroIsAbsorbing	447	447	447	Y	-	thvm=PROVED weights-exact
RingWithIdentityAxioms__ZeroIsAbsorbing	462	462	462	Y	-	thvm=PROVED weights-exact
RobbinsAxioms__DoubleNegation	-	-	-	-	-	SKIPPED_SLOW
ShefferAxioms__Commutativity	9	9	9	Y	-	thvm=PROVED weights-exact
ShefferAxioms__OrAssociativity	24175	191313	15	N	16	thvm=PROVED content-delta_wm-only=0_thvm-only=188506;post-axiom_nonax-wm=2804_nonax-thvm=191310_nonax-prefix=12;weights-exact;flat-subsume-default-on: known orphan-breadth residual vs KPV_KillParent (was prefix 18 with it off)
WolframAlternateAxioms__Commutativity	306	306	306	Y	-	thvm=PROVED weights-exact
WolframAlternateAxioms__DoubleNegation	8	8	8	Y	-	thvm=PROVED weights-exact
WolframAxioms__AndAssociativity	1218	200000	1218	N	1219	thvm=RUNNING content-delta_wm-only=0_thvm-only=198782;post-axiom_nonax-wm=1217_nonax-thvm=199999_nonax-prefix=1217;weights-exact
WolframAxioms__Commutativity	1218	2934	1218	N	1219	thvm=PROVED content-delta_wm-only=0_thvm-only=1716;post-axiom_nonax-wm=1217_nonax-thvm=2933_nonax-prefix=1217;weights-exact
WolframAxioms__DoubleNegation	1218	2796	1218	N	1219	thvm=PROVED content-delta_wm-only=0_thvm-only=1578;post-axiom_nonax-wm=1217_nonax-thvm=2795_nonax-prefix=1217;weights-exact
WolframAxioms__OrAssociativity	1218	200000	1218	N	1219	thvm=RUNNING content-delta_wm-only=0_thvm-only=198782;post-axiom_nonax-wm=1217_nonax-thvm=199999_nonax-prefix=1217;weights-exact
WolframCommutativeAxioms__Commutativity	2	2	2	Y	-	thvm=PROVED weights-exact
WolframCommutativeAxioms__DoubleNegation	4	4	4	Y	-	thvm=PROVED weights-exact
